code_etb,etablissement,wilaya,is_national,wilaya_confidence,code_fil,filiere,min1,min2,min3,annee,source_pdf,source_page
C99,RECRUTEMENT NATIONAL,,True,national,P01MAL01,MEDECINE,16.27,16.75,17.25,2022,moy_min_bac2022.pdf,1
C99,RECRUTEMENT NATIONAL,,True,national,P02MAL01,PHARMACIE,15.78,16.24,16.73,2022,moy_min_bac2022.pdf,1
C99,RECRUTEMENT NATIONAL,,True,national,P03MAL01,MEDECINE DENTAIRE,16.19,16.67,17.16,2022,moy_min_bac2022.pdf,1
P73,ECOLE NATIONALE SUPERIEURE D AGRICULTURE SAHARIENNE D ADRAR,ADRAR,False,fallback_scan,D00CAN12,CP SP ECOLE NATIONALE SUPERIEURE D AGRICULTURE SAHARIENNE D ADRAR,13.12,13.42,,2022,moy_min_bac2022.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,A00LAL01,SCIENCES ET TECHNOLOGIES,8.86,9.43,,2022,moy_min_bac2022.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,B00LAL01,SCIENCES DE LA MATIERE,9.03,,,2022,moy_min_bac2022.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,C01LAL01,INFORMATIQUE,10.89,11.4,,2022,moy_min_bac2022.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,C02LAL01,MATHEMATIQUES,8.03,7.68,,2022,moy_min_bac2022.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,9.89,11.05,12.93,2022,moy_min_bac2022.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,F00LAL02,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",9.5,9.62,10.03,2022,moy_min_bac2022.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,G01LAL02,SCIENCES POLITIQUES,11.03,,,2022,moy_min_bac2022.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,G02LAL01,DROIT,9.86,10.76,11.77,2022,moy_min_bac2022.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,H01LAL01,LANGUE FRANCAISE,11.03,11.15,11.11,2022,moy_min_bac2022.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,H06LAL01,LANGUE ANGLAISE,11.11,11.02,11.11,2022,moy_min_bac2022.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,I17LAL02,SCIENCES HUMAINES,9.65,10.48,,2022,moy_min_bac2022.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,I19LAL01,SCIENCES SOCIALES,10.35,11.7,11.83,2022,moy_min_bac2022.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,I20LAL01,SCIENCES ISLAMIQUES,9.5,9.58,,2022,moy_min_bac2022.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,L00LAL01,LANGUE ET LITTERATURE ARABES,9.5,9.51,,2022,moy_min_bac2022.pdf,1
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,A00LAL04,SCIENCES ET TECHNOLOGIES,8.69,9.29,,2022,moy_min_bac2022.pdf,1
C16,UNIV. CHLEF,CHLEF,False,univ_prefix,B00LAL03,SCIENCES DE LA MATIERE,7.37,,,2022,moy_min_bac2022.pdf,1
