code_etb,etablissement,wilaya,is_national,wilaya_confidence,code_fil,filiere,min1,min2,min3,annee,source_pdf,source_page
C99,RECRUTEMENT NATIONAL,,True,national,P01MAL01,MEDECINE,16.3,16.79,,2024,moy_min_bac2024.pdf,1
C99,RECRUTEMENT NATIONAL,,True,national,P02MAL01,PHARMACIE,15.82,16.3,,2024,moy_min_bac2024.pdf,1
C99,RECRUTEMENT NATIONAL,,True,national,P03MAL01,MEDECINE DENTAIRE,16.65,17.15,,2024,moy_min_bac2024.pdf,1
Z15,CENTRE DE FORMATION CONTINUE ADRAR,ADRAR,False,fallback_scan,F00FCL01,SCIENCES ECONOMIQUES DE GESTION ET SCIENCES COMMERCIALES (FORMATION CONTINUE),10.09,10.0,10.02,2024,moy_min_bac2024.pdf,1
Z15,CENTRE DE FORMATION CONTINUE ADRAR,ADRAR,False,fallback_scan,G02FCL01,DROIT (FORMATION CONTINUE),10.04,10.03,,2024,moy_min_bac2024.pdf,1
Z15,CENTRE DE FORMATION CONTINUE ADRAR,ADRAR,False,fallback_scan,H06FCL01,ANGLAIS TECHNIQUE (FORMATION CONTINUE),10.13,10.24,10.09,2024,moy_min_bac2024.pdf,1
Z15,CENTRE DE FORMATION CONTINUE ADRAR,ADRAR,False,fallback_scan,I03FCL01,SCIENCES HUMAINES ET SOCIALES SCIENCES DE L INFORMATION ET DE LA COMMUNICATION (FORMATION CONTINUE),10.01,10.01,,2024,moy_min_bac2024.pdf,1
P73,ECOLE NATIONALE SUPERIEURE D AGRICULTURE SAHARIENNE D ADRAR,ADRAR,False,fallback_scan,D00CAN12,FB SP ECOLE NATIONALE SUPERIEURE D AGRICULTURE SAHARIENNE D ADRAR,12.28,13.05,,2024,moy_min_bac2024.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,A00LAL01,SCIENCES ET TECHNOLOGIES,10.01,,,2024,moy_min_bac2024.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,A05TCL01,GENIE CIVIL,10.26,,,2024,moy_min_bac2024.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,A08TCL01,GENIE DES PROCEDES,10.8,,,2024,moy_min_bac2024.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,A16TCL01,ELECTROTECHNIQUE,11.03,,,2024,moy_min_bac2024.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,A19TCL01,GENIE MECANIQUE,13.21,,,2024,moy_min_bac2024.pdf,1
U12,UNIV. ADRAR,ADRAR,False,univ_prefix,B00LAL01,SCIENCES DE LA MATIERE,10.0,,,2024,moy_min_bac2024.pdf,1
